Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805_2012Metric,246.24,-109.19,180.0,top
C2,0.1u,C_0805_2012Metric,245.81,-103.71,180.0,top
C3,0.1u,C_0805_2012Metric,259.42,-102.36,0.0,top
C4,10u,C_0805_2012Metric,86.32,-113.98,-90.0,top
C5,22p,C_0805_2012Metric,263.3,-109.07125,-135.0,top
C6,1u,C_0805_2012Metric,251.88,-115.53,180.0,top
C7,22p,C_0805_2012Metric,263.69,-104.71125,135.0,top
D1,PRTR5V0U2X,SOT-143,83.155,-109.22,-90.0,top
D2,D,D_SOD-123,42.86,-133.66,90.0,top
D3,D,D_SOD-123,61.91,-135.19,90.0,top
D4,D,D_SOD-123,80.96,-133.66,90.0,top
D5,D,D_SOD-123,100.01,-135.19,90.0,top
D6,D,D_SOD-123,119.06,-133.66,90.0,top
D7,D,D_SOD-123,138.11,-135.19,90.0,top
D8,D,D_SOD-123,157.16,-133.66,90.0,top
D9,D,D_SOD-123,176.21,-135.19,90.0,top
D10,D,D_SOD-123,195.26,-133.66,90.0,top
D11,D,D_SOD-123,214.32,-135.19,90.0,top
D12,D,D_SOD-123,233.36,-133.66,90.0,top
D13,D,D_SOD-123,252.41,-135.19,90.0,top
D14,D,D_SOD-123,271.46,-133.66,90.0,top
D15,D,D_SOD-123,301.32,-135.19,90.0,top
D16,D,D_SOD-123,317.82,-133.66,90.0,top
D17,D,D_SOD-123,338.14,-135.19,90.0,top
D18,D,D_SOD-123,357.18,-133.66,90.0,top
D19,D,D_SOD-123,376.24,-135.19,90.0,top
D20,D,D_SOD-123,52.39,-152.71,90.0,top
D21,D,D_SOD-123,71.44,-154.24,90.0,top
D22,D,D_SOD-123,90.48,-152.71,90.0,top
D23,D,D_SOD-123,109.54,-154.24,90.0,top
D24,D,D_SOD-123,128.59,-152.71,90.0,top
D25,D,D_SOD-123,147.64,-154.24,90.0,top
D26,D,D_SOD-123,166.69,-152.71,90.0,top
D27,D,D_SOD-123,185.74,-154.24,90.0,top
D28,D,D_SOD-123,204.79,-152.71,90.0,top
D29,D,D_SOD-123,223.84,-154.24,90.0,top
D30,D,D_SOD-123,242.89,-152.71,90.0,top
D31,D,D_SOD-123,261.94,-154.24,90.0,top
D32,D,D_SOD-123,280.99,-152.71,90.0,top
D33,D,D_SOD-123,301.32,-154.24,90.0,top
D34,D,D_SOD-123,317.82,-152.71,90.0,top
D35,D,D_SOD-123,338.14,-154.24,90.0,top
D36,D,D_SOD-123,357.18,-152.71,90.0,top
D37,D,D_SOD-123,376.24,-154.24,90.0,top
D38,D,D_SOD-123,52.39,-171.76,90.0,top
D39,D,D_SOD-123,76.2,-173.29,90.0,top
D40,D,D_SOD-123,95.25,-171.76,90.0,top
D41,D,D_SOD-123,114.3,-173.29,90.0,top
D42,D,D_SOD-123,133.35,-171.76,90.0,top
D43,D,D_SOD-123,152.4,-173.29,90.0,top
D44,D,D_SOD-123,171.45,-171.76,90.0,top
D45,D,D_SOD-123,190.5,-173.29,90.0,top
D46,D,D_SOD-123,209.55,-171.76,90.0,top
D47,D,D_SOD-123,228.6,-173.29,90.0,top
D48,D,D_SOD-123,247.65,-171.76,90.0,top
D49,D,D_SOD-123,266.7,-173.29,90.0,top
D50,D,D_SOD-123,301.32,-171.76,90.0,top
D51,D,D_SOD-123,317.82,-171.76,90.0,top
D52,D,D_SOD-123,338.13,-173.29,90.0,top
D53,D,D_SOD-123,357.19,-171.76,90.0,top
D54,D,D_SOD-123,376.24,-173.29,90.0,top
D55,D,D_SOD-123,47.62,-190.81,90.0,top
D56,D,D_SOD-123,66.67,-192.34,90.0,top
D57,D,D_SOD-123,85.73,-190.81,90.0,top
D58,D,D_SOD-123,104.77,-192.34,90.0,top
D59,D,D_SOD-123,123.82,-190.81,90.0,top
D60,D,D_SOD-123,142.87,-192.34,90.0,top
D61,D,D_SOD-123,161.93,-190.81,90.0,top
D62,D,D_SOD-123,180.98,-192.34,90.0,top
D63,D,D_SOD-123,200.02,-190.81,90.0,top
D64,D,D_SOD-123,219.08,-192.34,90.0,top
D65,D,D_SOD-123,238.12,-190.81,90.0,top
D66,D,D_SOD-123,257.17,-192.34,90.0,top
D67,D,D_SOD-123,280.99,-190.81,90.0,top
D68,D,D_SOD-123,301.32,-192.34,90.0,top
D69,D,D_SOD-123,317.82,-190.81,90.0,top
D70,D,D_SOD-123,338.14,-192.34,90.0,top
D71,D,D_SOD-123,357.19,-190.81,90.0,top
D72,D,D_SOD-123,47.63,-202.40625,90.0,top
D73,D,D_SOD-123,76.2,-200.65,90.0,top
D74,D,D_SOD-123,109.54,-202.40625,90.0,top
D75,D,D_SOD-123,147.75,-200.65,90.0,top
D76,D,D_SOD-123,170.87,-200.65,90.0,top
D77,D,D_SOD-123,209.55,-202.40625,90.0,top
D78,D,D_SOD-123,242.89,-202.40625,90.0,top
D79,D,D_SOD-123,280.99,-200.65,90.0,top
D80,D,D_SOD-123,301.32,-200.65,90.0,top
D81,D,D_SOD-123,311.93,-202.40625,90.0,top
D82,D,D_SOD-123,357.19,-202.41,90.0,top
D83,D,D_SOD-123,376.19,-200.65,90.0,top
F1,500mA,Fuse_1206_3216Metric,82.705,-113.04,180.0,top
R1,22,R_0805_2012Metric,245.73,-114.91,0.0,top
R2,22,R_0805_2012Metric,245.72,-112.91,0.0,top
R3,10k,R_0805_2012Metric,248.91,-101.39,180.0,top
R4,10k,R_0805_2012Metric,259.0,-113.86,-90.0,top
R5,5.1k,R_0603_1608Metric,53.55,-97.8,0.0,top
R6,5.1k,R_0603_1608Metric,53.55,-110.16,180.0,top
U1,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,253.39,-106.68125,90.0,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,45.9375,-103.98125,-90.0,top
Y1,16MHz,Crystal_SMD_3225-4pin_3.2x2.5mm,261.35,-106.93125,-135.0,top
